NAAM;RECHTSVORM;ADRES;POSTCODE;PLAATS;TRANSPORT MANAGER;VERGUNNING;GELDIG TOT;AANTAL;;
Wiegersma Grond- & Straatwerken B.V.;BV;Tussendiepen 67;9206 AC;DRACHTEN;R.  Wiegersma;EUR;30-04-20;1;;
Sake Zittema B.V.;BV;Orionweg 37;8938 AG;LEEUWARDEN;G.L.S.  Pot;NAT;;2;;
V.O.F. Fa. Reidinga;VOF;Sitadel 1;8491 AZ;AKKRUM;K.  Reidinga;NAT;;2;;
Visser Afvalverwerking Transport en Recycling B.V.;BV;Kelvinstraat 30;8861 ND;HARLINGEN;J.J.  Jilderts;NAT;;12;;
J.G. Niezen;Eenmanszaak;H.J. Kniggestraat 132;9501 NK;STADSKANAAL;J.G.  Niezen;NAT;;1;;
E. Hogenbirk, h.o.n. Transport- Zand- en Grinthandel E. Hogenbirk;Eenmanszaak;Barnar 28;7826 EV;EMMEN;E.  Hogenbirk;EUR;27-07-19;1;;
Transportbedrijf Hoiting B.V.;BV;Achter 't Hout 1;9461 TH;GIETEN;H.  Hoiting;EUR;12-04-19;12;;
A.J. van Deudekom B.V.;BV;Industrieweg 35;1115 AD;DUIVENDRECHT;J.M.A.  Deudekom;EUR;01-01-18;16;;
CE Special Courier B.V.;BV;Stettinweg 5;9723 HD;GRONINGEN;H. de Rijke;EUR;20-12-15;7;;
A. Stuulen, h.o.n. A.S.T. Emmen;Eenmanszaak;Zuidbargerstraat 82;7812 AJ;EMMEN;A.  Stuulen;EUR;19-07-15;1;;
Internationaal Transport Willem van der Endt C.V.;Commanditaire venn. met meerdere beh. vennoten;Volkerstraat 6;4462 GH;GOES;D. van der Endt;EUR;01-01-18;8;;
J. Smidts, h.o.n. De Vries en Zn.;Eenmanszaak;Rijksweg 11;8872 NT;MIDLUM;J.  Smidts;EUR;24-11-19;4;;
Crown Worldwide Transport B.V.;BV;Gyroscoopweg 19;1042 AC;AMSTERDAM;F.  Weijgertse;EUR;01-01-18;14;;
W. van Zanten, h.o.n. Transportbedrijf Wim van Zanten;Eenmanszaak;Lopsterweg 2;9921 RP;STEDUM;W. van Zanten;EUR;03-11-18;5;;
V.o.f. Oldenhuis-Westeremden;VOF;Bredeweg 13;9922 PD;WESTEREMDEN;A.  Oldenhuis;EUR;12-01-19;2;;
Verhagen B.V.;BV;Legmeerdijk 313;1431 GB;AALSMEER;R.G.M.  Verhagen;EUR;01-01-18;75;;
De Koeijer Transport B.V.;BV;Krab 8;4401 PA;YERSEKE;H.C. de Koeijer;EUR;01-01-18;56;;
Huisman Beheer Venhuizen B.V.;BV;Zuiderdijk 30;1606 MG;VENHUIZEN;B.H.  Huisman;NAT;;4;;
Klaas Bijlsma en Zonen B.V.;BV;Hemmemaweg 26;9076 PH;SINT ANNAPAROCHIE;J.K.  Bijlsma;NAT;;10;;
Melis Internationaal Transport B.V.;BV;Dijkgraaf 38 B;6921 RL;DUIVEN;M. R. M.  Melis;EUR;01-01-18;64;;
A.H. Boekema & Zn. V.o.f.;VOF;De Greiden 4;9003 MJ;WARTENA;A.H.  Boekema;EUR;18-11-18;10;;
V.o.f. Gebr. Dijkstra;VOF;Fzjentsjerterein 9 A;8855 HT;SEXBIERUM;I.  Dijkstra;EUR;30-11-15;2;;
